24221*2^200470-1 is not prime.  LLR Res64: A415B8C10BDA2A56  Time : 38.786 sec.
18869*2^200472-1 is not prime.  LLR Res64: B8A72E1FF3538C7F  Time : 38.817 sec.
28177*2^200473-1 is not prime.  LLR Res64: 1A9F6811C307E5B1  Time : 38.721 sec.
31627*2^200473-1 is not prime.  LLR Res64: AA8D830A09AD5269  Time : 38.655 sec.
23173*2^200475-1 is not prime.  LLR Res64: E5CC811C60EEDF01  Time : 38.723 sec.
32789*2^200476-1 is not prime.  LLR Res64: 316A0D9BFB925F37  Time : 38.851 sec.
30337*2^200477-1 is not prime.  LLR Res64: 1024A6F410448966  Time : 39.027 sec.
18103*2^200479-1 is not prime.  LLR Res64: 6B4F4ADDD983C58D  Time : 38.790 sec.
15997*2^200481-1 is not prime.  LLR Res64: 796F6F1C7FB41AD1  Time : 38.779 sec.
24133*2^200483-1 is not prime.  LLR Res64: C91910888FB9C115  Time : 38.802 sec.
30283*2^200483-1 is not prime.  LLR Res64: 0EB3C3A91D50C4C3  Time : 38.775 sec.
18209*2^200484-1 is not prime.  LLR Res64: BD8F15F2BA9F62F4  Time : 38.824 sec.
20017*2^200489-1 is not prime.  LLR Res64: 5A65C9446440F251  Time : 38.805 sec.
34297*2^200489-1 is not prime.  LLR Res64: 2FB91B71D11F45C5  Time : 38.875 sec.
27133*2^200491-1 is not prime.  LLR Res64: B6FF39F0EF9A0F1F  Time : 38.787 sec.
23711*2^200494-1 is not prime.  LLR Res64: DFCDF413FA6BC7F4  Time : 38.778 sec.
33403*2^200495-1 is not prime.  LLR Res64: 8D66A0CE75C38A9D  Time : 38.879 sec.
20939*2^200496-1 is not prime.  LLR Res64: D18776EC8628377B  Time : 38.833 sec.
30337*2^200501-1 is not prime.  LLR Res64: E579FBBB3B98BDD8  Time : 38.772 sec.
17411*2^200502-1 is not prime.  LLR Res64: 647C4DBCE232A5EB  Time : 38.812 sec.
28177*2^200505-1 is not prime.  LLR Res64: 8E0637F887A49F06  Time : 38.786 sec.
22927*2^200509-1 is not prime.  LLR Res64: 10A421743D001EA8  Time : 38.801 sec.
31453*2^200511-1 is not prime.  LLR Res64: BEB16B9884DB5E2A  Time : 38.818 sec.
27899*2^200516-1 is not prime.  LLR Res64: D5ADC3D0B22FCC2A  Time : 38.841 sec.
31357*2^200517-1 is not prime.  LLR Res64: 26A57CB902D8A3C6  Time : 38.776 sec.
18869*2^200520-1 is not prime.  LLR Res64: 1955A939AC2299ED  Time : 38.824 sec.
34169*2^200520-1 is not prime.  LLR Res64: 9360E742447200A3  Time : 38.813 sec.
17021*2^200522-1 is not prime.  LLR Res64: 7BFE47BDE62EDB02  Time : 38.786 sec.
20591*2^200522-1 is not prime.  LLR Res64: 0631B55183134BC9  Time : 38.740 sec.
22453*2^200523-1 is not prime.  LLR Res64: 9A51A8E48AFD9793  Time : 39.179 sec.
27997*2^200525-1 is not prime.  LLR Res64: 368D0BE36AD16182  Time : 38.801 sec.
25061*2^200530-1 is not prime.  LLR Res64: CEB26E72CE24EBD0  Time : 38.836 sec.
20939*2^200532-1 is not prime.  LLR Res64: 8A6C2E279812A0AD  Time : 38.791 sec.
20651*2^200534-1 is not prime.  LLR Res64: 82DAE58A3B40100D  Time : 38.783 sec.
17411*2^200538-1 is not prime.  LLR Res64: B6F3C8BFE5DBAA45  Time : 38.730 sec.
17113*2^200539-1 is not prime.  LLR Res64: F9CCD43CDB71BB23  Time : 38.833 sec.
15997*2^200541-1 is not prime.  LLR Res64: FB80D990974E8113  Time : 38.815 sec.
23711*2^200542-1 is not prime.  LLR Res64: A9455575A1A6DA5C  Time : 38.886 sec.
15373*2^200543-1 is not prime.  LLR Res64: 36402E6D0AED510C  Time : 38.839 sec.
22927*2^200545-1 is not prime.  LLR Res64: 2CBB84B8B6E608C2  Time : 38.758 sec.
17021*2^200546-1 is not prime.  LLR Res64: CDF2674C60BD7A0F  Time : 38.709 sec.
16543*2^200547-1 is not prime.  LLR Res64: 885B9C634DF2F909  Time : 38.799 sec.
19117*2^200549-1 is not prime.  LLR Res64: 9E1C28085845209E  Time : 38.763 sec.
18727*2^200553-1 is not prime.  LLR Res64: 5F04392E35D7E7FC  Time : 38.781 sec.
30283*2^200555-1 is not prime.  LLR Res64: 1FE48678CA9BEEDD  Time : 38.793 sec.
15043*2^200559-1 is not prime.  LLR Res64: 32BFC87E94FF7E56  Time : 38.813 sec.
27913*2^200559-1 is not prime.  LLR Res64: E890936775AF44DC  Time : 38.771 sec.
17021*2^200562-1 is not prime.  LLR Res64: 191FAD3B0642C3D5  Time : 38.753 sec.
15373*2^200563-1 is not prime.  LLR Res64: 0146922410FE7B6B  Time : 38.757 sec.
24133*2^200567-1 is not prime.  LLR Res64: FB1689269231BDAC  Time : 38.761 sec.
17977*2^200569-1 is not prime.  LLR Res64: 26092A4E347BD756  Time : 38.783 sec.
23437*2^200569-1 is not prime.  LLR Res64: 8878BB4294F728F0  Time : 38.739 sec.
32789*2^200572-1 is not prime.  LLR Res64: 7AE7DC99F98F99E4  Time : 38.922 sec.
33457*2^200573-1 is not prime.  LLR Res64: 245F339E5C6BF3A3  Time : 38.774 sec.
27913*2^200583-1 is not prime.  LLR Res64: EC2862BA1599A4EC  Time : 38.848 sec.
25559*2^200584-1 is not prime.  LLR Res64: A418AF31D44EEDDA  Time : 38.808 sec.
31109*2^200584-1 is not prime.  LLR Res64: C8FE3AA730D5DDE4  Time : 38.825 sec.
34169*2^200584-1 is not prime.  LLR Res64: 90C93CF1437A5427  Time : 38.799 sec.
