24599*2^275428-1 is not prime.  LLR Res64: 94BBD51227F08A1E  Time : 83.477 sec.
19117*2^275429-1 is not prime.  LLR Res64: 0629ACF31FA28094  Time : 67.592 sec.
25747*2^275429-1 is not prime.  LLR Res64: 8C8C9368C7AD0E6B  Time : 83.402 sec.
32887*2^275429-1 is not prime.  LLR Res64: DEC8B5B3A048B3A4  Time : 83.317 sec.
20381*2^275430-1 is not prime.  LLR Res64: EA733AE36F945665  Time : 69.156 sec.
15997*2^275433-1 is not prime.  LLR Res64: E13BAF8C96AB1566  Time : 67.616 sec.
24599*2^275440-1 is not prime.  LLR Res64: F05CF15F3091D898  Time : 83.363 sec.
16447*2^275441-1 is not prime.  LLR Res64: D62D10FFEFF6116A  Time : 67.399 sec.
31301*2^275442-1 is not prime.  LLR Res64: 6D15AEA5CBE13886  Time : 83.410 sec.
24523*2^275443-1 is not prime.  LLR Res64: 497850512D29B44B  Time : 83.390 sec.
24133*2^275447-1 is not prime.  LLR Res64: 586E1485B86AC61B  Time : 83.396 sec.
17467*2^275449-1 is not prime.  LLR Res64: 436919C6189F1B7A  Time : 67.521 sec.
17977*2^275449-1 is not prime.  LLR Res64: 04C034497A512AC1  Time : 67.444 sec.
22453*2^275451-1 is not prime.  LLR Res64: B3D3E96D63F15283  Time : 69.180 sec.
30059*2^275452-1 is not prime.  LLR Res64: 3D7EAE14999E2F4B  Time : 83.537 sec.
19117*2^275453-1 is not prime.  LLR Res64: C81D779B49A92064  Time : 67.830 sec.
22537*2^275453-1 is not prime.  LLR Res64: 1BFF0E151CF52928  Time : 69.289 sec.
21793*2^275455-1 is not prime.  LLR Res64: A98CD533889BC2DA  Time : 69.228 sec.
27899*2^275456-1 is not prime.  LLR Res64: 74D76EF68F6B062D  Time : 83.617 sec.
23173*2^275459-1 is not prime.  LLR Res64: C3AC4F27760DCD8C  Time : 69.397 sec.
30337*2^275461-1 is not prime.  LLR Res64: FF15E6B00049FEC3  Time : 83.509 sec.
22691*2^275462-1 is not prime.  LLR Res64: DA314A0B6E37FA26  Time : 69.146 sec.
31109*2^275464-1 is not prime.  LLR Res64: 780517A67D753118  Time : 83.535 sec.
34169*2^275464-1 is not prime.  LLR Res64: B4DD4F1A2E2ABBE6  Time : 83.627 sec.
