11655*2^840072-1 is not prime.  LLR Res64: 65691B5BB40AFF9F  Time : 527.397 sec.
13845*2^840072-1 is not prime.  LLR Res64: A7E1DDC758661AB2  Time : 518.041 sec.
23295*2^840072-1 is not prime.  LLR Res64: 72B683EED5909136  Time : 451.938 sec.
23805*2^840072-1 is not prime.  LLR Res64: C2BA4673BE30492D  Time : 438.647 sec.
28605*2^840072-1 is not prime.  LLR Res64: 6DA4AABBE07D7B85  Time : 453.934 sec.
11961*2^840073-1 is not prime.  LLR Res64: CD18066FF1F5BA62  Time : 439.049 sec.
20145*2^840073-1 is not prime.  LLR Res64: AE36A8D42546BA09  Time : 438.937 sec.
23985*2^840073-1 is not prime.  LLR Res64: F3AFAC25A64DDD51  Time : 439.646 sec.
28215*2^840073-1 is not prime.  LLR Res64: 7FCC4B94798FB515  Time : 453.256 sec.
29925*2^840073-1 is not prime.  LLR Res64: 2F0ADA949AFC1ED9  Time : 506.672 sec.
12753*2^840074-1 is not prime.  LLR Res64: 033E607DBA71B396  Time : 439.524 sec.
17295*2^840074-1 is not prime.  LLR Res64: BD29F59CFCFE8EEC  Time : 439.323 sec.
21825*2^840074-1 is not prime.  LLR Res64: F32F45A62BB04644  Time : 441.209 sec.
23805*2^840074-1 is not prime.  LLR Res64: 85B833B121845C0F  Time : 439.421 sec.
23985*2^840074-1 is not prime.  LLR Res64: 717412A35681A392  Time : 438.825 sec.
14895*2^840075-1 is not prime.  LLR Res64: FBDCFE8932638838  Time : 461.693 sec.
21525*2^840075-1 is not prime.  LLR Res64: D525D0B26ADEF40D  Time : 507.000 sec.
17295*2^840076-1 is not prime.  LLR Res64: 84A6E6CA3218E0AB  Time : 470.551 sec.
23805*2^840076-1 is not prime.  LLR Res64: 6CF315949E056C80  Time : 440.164 sec.
29445*2^840076-1 is not prime.  LLR Res64: F630DBD14F2F5C15  Time : 473.767 sec.
11961*2^840077-1 is not prime.  LLR Res64: 0E3C85412B0CC72C  Time : 440.098 sec.
11655*2^840078-1 is not prime.  LLR Res64: 4659CF30E0C54031  Time : 444.952 sec.
13065*2^840078-1 is not prime.  LLR Res64: 7E847E51A50C2408  Time : 457.840 sec.
