21825*2^20046-1 is not prime.  LLR Res64: 9A8D6ACBF74C6DCD  Time : 388.377 ms.
22701*2^20046-1 is not prime.  LLR Res64: F1F3E1F337438A93  Time : 387.343 ms.
29445*2^20046-1 is not prime.  LLR Res64: 722873A7D72DA44C  Time : 393.877 ms.
20625*2^20047-1 is not prime.  LLR Res64: 69FF6F9569A92BA5  Time : 371.913 ms.
22365*2^20047-1 is not prime.  LLR Res64: 337E3C250DB6075E  Time : 388.980 ms.
26829*2^20048-1 is not prime.  LLR Res64: D553EA2C187C4146  Time : 380.474 ms.
28605*2^20048-1 is not prime.  LLR Res64: DC579925E6C71551  Time : 386.328 ms.
29685*2^20048-1 is not prime.  LLR Res64: A44E1C52F00A3B17  Time : 370.213 ms.
29925*2^20048-1 is not prime.  LLR Res64: C23422B9EFF23BC1  Time : 370.547 ms.
17295*2^20049-1 is not prime.  LLR Res64: 908002CD3524CB24  Time : 393.609 ms.
21885*2^20049-1 is not prime.  LLR Res64: 8A13DC627ADF651D  Time : 366.281 ms.
23985*2^20049-1 is not prime.  LLR Res64: B559C2C39958ECBA  Time : 389.430 ms.
29445*2^20049-1 is not prime.  LLR Res64: DD73D177A68E3388  Time : 372.483 ms.
16665*2^20050-1 is not prime.  LLR Res64: E5B309D2498ABD20  Time : 370.517 ms.
16887*2^20050-1 is not prime.  LLR Res64: FF8BEB665CBD55DC  Time : 377.769 ms.
18975*2^20050-1 is not prime.  LLR Res64: 5998E0A0E76C025F  Time : 388.531 ms.
22701*2^20051-1 is not prime.  LLR Res64: 94B503DFBBAB57AA  Time : 386.289 ms.
28215*2^20051-1 is not prime.  LLR Res64: 030BA26A8F330D19  Time : 395.517 ms.
21285*2^20052-1 is not prime.  LLR Res64: 641EA1EB2B423F27  Time : 372.116 ms.
29685*2^20052-1 is not prime.  LLR Res64: 61A3AFE7A7E3980F  Time : 387.281 ms.
18525*2^20053-1 is not prime.  LLR Res64: 915CE4A4E1A71419  Time : 370.737 ms.
21885*2^20053-1 is not prime.  LLR Res64: A6703A5B93011932  Time : 378.590 ms.
22365*2^20053-1 is not prime.  LLR Res64: 342C77D42223232B  Time : 362.862 ms.
