25077*2^40060-1 is not prime.  LLR Res64: 2A7804BF3F5F6410  Time : 1.450 sec.
16665*2^40061-1 is not prime.  LLR Res64: D22B84CD96697F99  Time : 1.467 sec.
16887*2^40061-1 is not prime.  LLR Res64: 853B85B33A242FC9  Time : 1.473 sec.
21525*2^40061-1 is not prime.  LLR Res64: 329BC87AE18DBD14  Time : 1.465 sec.
22785*2^40061-1 is not prime.  LLR Res64: FB0DCF67B00CAA06  Time : 1.467 sec.
26829*2^40061-1 is not prime.  LLR Res64: 6D88E34E70BB8080  Time : 1.470 sec.
28665*2^40061-1 is not prime.  LLR Res64: CF24902F9A2528BF  Time : 1.473 sec.
21285*2^40062-1 is not prime.  LLR Res64: E74A922289B206EE  Time : 1.476 sec.
28605*2^40062-1 is not prime.  LLR Res64: 01126F93380DA72E  Time : 1.465 sec.
22701*2^40063-1 is not prime.  LLR Res64: A1B447AC12594C07  Time : 1.467 sec.
27615*2^40063-1 is not prime.  LLR Res64: 6A04EC83ABF25E76  Time : 1.465 sec.
28605*2^40063-1 is not prime.  LLR Res64: 38ABD8A45B2D4484  Time : 1.477 sec.
29445*2^40063-1 is not prime.  LLR Res64: F7A2249121C21188  Time : 1.464 sec.
25905*2^40064-1 is not prime.  LLR Res64: 502EB1EE4ED7253D  Time : 1.459 sec.
28215*2^40064-1 is not prime.  LLR Res64: CAE15C96C95BA24D  Time : 1.478 sec.
29025*2^40064-1 is not prime.  LLR Res64: 9ADC07FF82BE3DBE  Time : 1.461 sec.
16887*2^40065-1 is not prime.  LLR Res64: A3CAB0F19068D57F  Time : 1.584 sec.
20625*2^40065-1 is not prime.  LLR Res64: 50B1D463501CA7EF  Time : 1.468 sec.
29445*2^40065-1 is not prime.  LLR Res64: 3EE0E569852BEDB1  Time : 1.475 sec.
29925*2^40065-1 is not prime.  LLR Res64: 2D80A85A3D3FA575  Time : 1.464 sec.
15645*2^40066-1 is not prime.  LLR Res64: 58E385859DD86D5E  Time : 1.471 sec.
16887*2^40066-1 is not prime.  LLR Res64: A9C2D7C043A58D2D  Time : 1.479 sec.
19635*2^40066-1 is not prime.  LLR Res64: 5AE18CCA6492A1AD  Time : 1.466 sec.
21885*2^40066-1 is not prime.  LLR Res64: 5099960D25CC456D  Time : 1.467 sec.
22095*2^40066-1 is not prime.  LLR Res64: BEA17A6BA9F86285  Time : 1.455 sec.
28665*2^40066-1 is not prime.  LLR Res64: FD07324B941B2B16  Time : 1.476 sec.
29445*2^40066-1 is not prime.  LLR Res64: 16C34F97E4E3BC9C  Time : 1.466 sec.
22095*2^40067-1 is not prime.  LLR Res64: 3E7F17706E2FCF97  Time : 1.459 sec.
28215*2^40067-1 is not prime.  LLR Res64: F9BBFDE85D869179  Time : 1.465 sec.
29025*2^40067-1 is not prime.  LLR Res64: 55B01B63139A957E  Time : 1.470 sec.
29445*2^40067-1 is not prime.  LLR Res64: 905F70E647C01586  Time : 1.473 sec.
27615*2^40068-1 is not prime.  LLR Res64: EBDC241700402250  Time : 1.464 sec.
28215*2^40068-1 is not prime.  LLR Res64: DBF6B13C6BCEF3C5  Time : 1.466 sec.
20145*2^40069-1 is not prime.  LLR Res64: D758007B5D361F61  Time : 1.469 sec.
21285*2^40069-1 is not prime.  LLR Res64: E5F61ECD45497CF1  Time : 1.491 sec.
23295*2^40069-1 is not prime.  LLR Res64: 7ABA2E7A187F32B0  Time : 1.466 sec.
25077*2^40069-1 is not prime.  LLR Res64: B8F62F658DF08263  Time : 1.491 sec.
28665*2^40069-1 is not prime.  LLR Res64: 7721F30E0BCB76BA  Time : 1.477 sec.
15645*2^40070-1 is not prime.  LLR Res64: 6B631E072AAA11D3  Time : 1.467 sec.
18975*2^40070-1 is not prime.  LLR Res64: 0AC5A200C4DEE7DC  Time : 1.462 sec.
21885*2^40070-1 is not prime.  LLR Res64: EEC5B1562EB8C45F  Time : 1.469 sec.
28605*2^40070-1 is not prime.  LLR Res64: F0DA3EAE3BE7E120  Time : 1.464 sec.
18975*2^40071-1 is not prime.  LLR Res64: C58552B0D145878E  Time : 1.464 sec.
20625*2^40071-1 is not prime.  LLR Res64: 36C7A379EBC49A1D  Time : 1.458 sec.
22095*2^40071-1 is not prime.  LLR Res64: AF42F28C7564FB23  Time : 1.466 sec.
22701*2^40071-1 is not prime.  LLR Res64: D893CCD2050E6894  Time : 1.469 sec.
25905*2^40071-1 is not prime.  LLR Res64: 4FE50DBC1E91A01B  Time : 1.474 sec.
27615*2^40071-1 is not prime.  LLR Res64: 9B07E2458E1CF5F6  Time : 1.463 sec.
29925*2^40071-1 is not prime.  LLR Res64: F8CF523A8383FF0A  Time : 1.467 sec.
18975*2^40072-1 is not prime.  LLR Res64: 4493066C66933C99  Time : 1.466 sec.
